index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price in USD,price in EURO
0,Alfa-Romero,convertible,88.6,168.8,dohc,four,111,21,13495,14169.75
1,Alfa-Romero,convertible,88.6,168.8,dohc,four,111,21,16500,17325
2,Alfa-Romero,hatchback,94.5,171.2,ohcv,six,154,19,1650000,1732500
3,Audi,sedan,99.8,176.6,ohc,four,102,24,13950,14647.5
4,Audi,sedan,99.4,176.6,ohc,five,115,18,17450,18322.5
5,Audi,sedan,99.8,177.3,ohc,five,110,19,15250,16012.5
6,Audi,wagon,105.8,192.7,ohc,five,110,19,18920,19866
9,Bmw,sedan,101.2,176.8,ohc,four,101,23,16430,17251.5
10,Bmw,sedan,101.2,176.8,ohc,four,101,23,16925,17771.25
11,Bmw,sedan,101.2,176.8,ohc,six,121,21,20970,22018.5
13,Bmw,sedan,103.5,189,ohc,six,182,16,30760,32298
14,Bmw,sedan,103.5,193.8,ohc,six,182,16,41315,43380.75
15,Bmw,sedan,110,197,ohc,six,182,15,36880,38724
16,Chevrolet,hatchback,88.4,141.1,l,three,48,47,5151,5408.55
17,Chevrolet,hatchback,94.5,155.9,ohc,four,70,38,6295,6609.75
18,Chevrolet,sedan,94.5,158.8,ohc,four,70,38,6575,6903.75
19,Dodge,hatchback,93.7,157.3,ohc,four,68,31,6377,6695.85
20,Dodge,hatchback,93.7,157.3,ohc,four,68,31,6229,6540.45
26,Honda,wagon,96.5,157.1,ohc,four,76,30,7295,7659.75
27,Honda,wagon,96.5,157.1,ohc,four,76,30,7295,7659.75
28,Honda,sedan,96.5,175.4,ohc,four,101,24,12945,13592.25
29,Honda,sedan,96.5,169.1,ohc,four,100,25,10345,10862.25
30,Isuzu,sedan,94.3,170.7,ohc,four,78,24,6785,7124.25
31,Isuzu,sedan,94.5,155.9,ohc,four,70,38,,
32,Isuzu,sedan,94.5,155.9,ohc,four,70,38,,
33,Jaguar,sedan,113,199.6,dohc,six,176,15,32250,33862.5
34,Jaguar,sedan,113,199.6,dohc,six,176,15,35550,37327.5
35,Jaguar,sedan,102,191.7,ohcv,twelve,262,13,36000,37800
36,Mazda,hatchback,93.1,159.1,ohc,four,68,30,5195,5454.75
37,Mazda,hatchback,93.1,159.1,ohc,four,68,31,6095,6399.75
38,Mazda,hatchback,93.1,159.1,ohc,four,68,31,6795,7134.75
39,Mazda,hatchback,95.3,169,rotor,two,101,17,11845,12437.25
43,Mazda,sedan,104.9,175,ohc,four,72,31,18344,19261.2
44,Mercedes-Benz,sedan,110,190.9,ohc,five,123,22,25552,26829.6
45,Mercedes-Benz,wagon,110,190.9,ohc,five,123,22,28248,29660.4
46,Mercedes-Benz,sedan,120.9,208.1,ohcv,eight,184,14,40960,43008
47,Mercedes-Benz,hardtop,112,199.2,ohcv,eight,184,14,45400,47670
48,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,5389,5658.45
49,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,5389,5658.45
50,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,31,6189,6498.45
51,Mitsubishi,sedan,96.3,172.4,ohc,four,88,25,6989,7338.45
52,Mitsubishi,sedan,96.3,172.4,ohc,four,88,25,8189,8598.45
53,Nissan,sedan,94.5,165.3,ohc,four,55,45,709,744.45
54,Nissan,sedan,94.5,165.3,ohc,four,69,31,6649,6981.45
55,Nissan,sedan,94.5,165.3,ohc,four,69,31,6849,7191.45
56,Nissan,wagon,94.5,170.2,ohc,four,69,31,7349,7716.45
57,Nissan,sedan,100.4,184.6,ohcv,six,152,19,13499,14173.95
61,Porsche,hardtop,89.5,168.9,ohcf,six,207,17,34028,35729.4
62,Porsche,convertible,89.5,168.9,ohcf,six,207,17,37028,38879.4
63,Porsche,hatchback,98.4,175.7,dohcv,eight,288,17,,
66,Toyota,hatchback,95.7,158.7,ohc,four,62,35,5348,5615.4
67,Toyota,hatchback,95.7,158.7,ohc,four,62,31,6338,6654.9
68,Toyota,hatchback,95.7,158.7,ohc,four,62,31,6488,6812.4
69,Toyota,wagon,95.7,169.7,ohc,four,62,31,6918,7263.9
70,Toyota,wagon,95.7,169.7,ohc,four,62,27,7898,8292.9
71,Toyota,wagon,95.7,169.7,ohc,four,62,27,8778,9216.9
79,Toyota,wagon,104.5,187.8,dohc,six,156,19,15750,16537.5
80,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7775,8163.75
81,Volkswagen,sedan,97.3,171.7,ohc,four,85,27,7975,8373.75
82,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7995,8394.75
83,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7995,8394.75
86,Volkswagen,sedan,97.3,171.7,ohc,four,100,26,9995,10494.75
87,Volvo,sedan,104.3,188.8,ohc,four,114,23,12940,13587
88,Volvo,wagon,104.3,188.8,ohc,four,114,23,13415,14085.75
